Gene: TUBA3C | Pos: 
Gene: TUBA3C | Pos: 
Gene: XPO4 | Pos: 
Gene: MRPL57 | Pos: 
Gene: MRPL57 | Pos: 
Gene: MRPL57 | Pos: 
Gene: MRPL57 | Pos: 
Gene: MRPL57 | Pos: 
Gene: MRPL57 | Pos: 
Gene: ATP12A | Pos: 
Gene: ATP12A | Pos: 
Gene: ATP12A | Pos: 
Gene: ATP12A | Pos: 
Gene: ATP12A | Pos: 
Gene: ATP12A | Pos: 
Gene: PABPC3 | Pos: 
Gene: PABPC3 | Pos: 
Gene: PABPC3 | Pos: 
Gene: PABPC3 | Pos: 
Gene: PABPC3 | Pos: 
Gene: PABPC3 | Pos: 
Gene: MTMR6 | Pos: 
Gene: GPR12 | Pos: 
Gene: GPR12 | Pos: 
Gene: GPR12 | Pos: 
Gene: GPR12 | Pos: 
Gene: GPR12 | Pos: 
Gene: GPR12 | Pos: 
Gene: USP12 | Pos: 
Gene: POLR1D | Pos: 
Gene: POLR1D | Pos: 
Gene: POLR1D | Pos: 
Gene: POLR1D | Pos: 
Gene: POLR1D | Pos: 
Gene: POLR1D | Pos: 
Gene: GSX1 | Pos: 
Gene: NBEA | Pos: 
Gene: NBEA | Pos: 
Gene: NBEA | Pos: 
Gene: NBEA | Pos: 
Gene: SUPT20H | Pos: 
Gene: SUPT20H | Pos: 
Gene: FOXO1 | Pos: 
Gene: FOXO1 | Pos: 
Gene: ELF1 | Pos: 
Gene: ELF1 | Pos: 
Gene: NAA16 | Pos: 
Gene: NAA16 | Pos: 
Gene: NAA16 | Pos: 
Gene: NUFIP1 | Pos: 
Gene: NUFIP1 | Pos: 
Gene: NUFIP1 | Pos: 
Gene: EBPL | Pos: 
Gene: EBPL | Pos: 
Gene: DLEU7 | Pos: 
Gene: INTS6 | Pos: 
Gene: INTS6 | Pos: 
Gene: HNRNPA1L2 | Pos: 
Gene: HNRNPA1L2 | Pos: 
Gene: HNRNPA1L2 | Pos: 
Gene: HNRNPA1L2 | Pos: 
Gene: SLITRK6 | Pos: 
Gene: HS6ST3 | Pos: 
Gene: IPO5 | Pos: 
Gene: IPO5 | Pos: 
Gene: IPO5 | Pos: 
Gene: TMTC4 | Pos: 
Gene: TMTC4 | Pos: 
Gene: TMTC4 | Pos: 
Gene: NALCN | Pos: 
Gene: NALCN | Pos: 
Gene: NALCN | Pos: 
Gene: TEX30 | Pos: 
Gene: POGLUT2 | Pos: 
Gene: POGLUT2 | Pos: 
Gene: POGLUT2 | Pos: 
Gene: IRS2 | Pos: 
Gene: SOX1 | Pos: 
Gene: TFDP1 | Pos: 
Gene: TFDP1 | Pos: 
Gene: CHAMP1 | Pos: 
Gene: CHAMP1 | Pos: 
Gene: MRM3 | Pos: 
Gene: CRK | Pos: 
Gene: CRK | Pos: 
Gene: PRPF8 | Pos: 
